,鳥,爬虫類,魚
0,オキナワオオコウモリ,マダラトカゲモドキ,チョウザメ
1,ミヤココキクガシラコウモリ,イヘヤトカゲモドキ,スワモロコ
2,オガサワラアブラコウモリ,クメトカゲモドキ,ミナミトミヨ
3,エゾオオカミ,ミヤコカナヘビ,クニマス
4,ニホンオオカミ,キクザトサワヘビ,ナミダカワウツボ
5,ニホンカワウソ（本州以南亜種）,アカウミガメ,コゲウツボ
6,ニホンカワウソ（北海道亜種）,タイマイ,イチモンジタナゴ
7,センカクモグラ,ケラマトカゲモドキ,イタセンパラ
8,ダイトウオオコウモリ,オビトカゲモドキ,ミナミアカヒレタビラ
9,エラブオオコウモリ,センカクトカゲ,セボシタビラ
10,クロアカコウモリ,ミヤコヒメヘビ,ゼニタナゴ
11,ヤンバルホオヒゲコウモリ,シュウダ,ヒナモロコ
12,セスジネズミ,ヨナグニシュウダ,フナ属の１種（琉球列島）
13,オキナワトゲネズミ,ミヤコヒバァ,ホンモロコ
14,ツシマヤマネコ,アオウミガメ,ワタカ
15,イリオモテヤマネコ,ヤエヤマセマルハコガメ,ウシモツゴ
16,ラッコ,リュウキュウヤマガメ,シナイモツゴ
17,ニホンアシカ,ヤエヤマイシガメ,スイゲンゼニタナゴ
18,ジュゴン,クロイワトカゲモドキ,ニッポンバラタナゴ
19,オリイジネズミ,ヤクヤモリ,アブラヒガイ
20,エチゴモグラ,タシロヤモリ,ミヤコタナゴ
21,オガサワラオオコウモリ,ミナミトリシマヤモリ,サンヨウコガタスジシマドジョウ
22,オリイコキクガシラコウモリ,ヨナグニキノボリトカゲ,ヨドコガタスジシマドジョウ
23,オキナワコキクガシラコウモリ,オキナワキノボリトカゲ,ハカタスジシマドジョウ
24,リュウキュウテングコウモリ,ミヤコトカゲ,タンゴスジシマドジョウ
25,コヤマコウモリ,バーバートカゲ,アユモドキ
26,リュウキュウユビナガコウモリ,キシノウエトカゲ,リュウキュウアユ
27,ケナガネズミ,オキナワトカゲ,アリアケヒメシラウオ
28,アマミトゲネズミ,サキシマカナヘビ,アリアケシラウオ
29,トクノシマトゲネズミ,コモチカナヘビ,ベニザケ（ヒメマス）
30,アマミノクロウサギ,ミヤラヒメヘビ,タウナギ属の１種（琉球列島）
31,シベリアイタチ,サキシマスジオ,ハリヨ
32,トウキョウトガリネズミ,ヤエヤマタカチホヘビ,トミヨ属雄物型
33,ヤエヤマコキクガシラコウモリ,イイジマウミヘビ,ムサシトミヨ
34,クビワコウモリ,ヒロオウミヘビ,ホシイッセンヨウジ
35,ウスリホオヒゲコウモリ,エラブウミヘビ,ヒメテングヨウジ
36,ホンドノレンコウモリ,イワサキワモンベニヘビ,タニヨウジ
37,クロホオヒゲコウモリ,ニホンイシガメ,カワボラ
38,ヤマコウモリ,タカラヤモリ,アゴヒゲオコゼ
39,モリアブラコウモリ,オキナワヤモリ,ヒゲソリオコゼ
40,オヒキコウモリ,タワヤモリ,カガミテンジクダイ
41,コジネズミ,サキシマキノボリトカゲ,ウラウチフエダイ
42,ワタセジネズミ,オガサワラトカゲ,アオギス
43,アズミトガリネズミ,オオシマトカゲ,テッポウウオ
44,シコクトガリネズミ,イシガキトカゲ,ニセシマイサキ
45,ミズラモグラ,アムールカナヘビ,ヨコシマイサキ
46,サドモグラ,サキシマアオヘビ,シミズシマイサキ
47,ミヤマムクゲネズミ,アカマダラ,ウラウチヘビギンポ
48,リシリムクゲネズミ,サキシマバイカダ,カワギンポ
49,エゾナキウサギ,イワサキセダカヘビ,ヒルギギンポ
50,サドノウサギ,アマミタカチホヘビ,ツバサハゼ
51,ツシマテン,ハイ,ヤエヤマノコギリハゼ
52,エゾクロテン,ヒャン,カワクモハゼ
53,ホンドオコジョ,トカラハブ,ミスジハゼ
54,エゾオコジョ,ニホンスッポン,ヒメトサカハゼ
55,ニホンイイズナ（本州亜種）,クチノシマトカゲ,クロトサカハゼ
56,ゼニガタアザラシ,ダンジョヒバカリ,ウラウチイソハゼ
57,トド,大東諸島のオガサワラヤモリ,コンジキハゼ
58,オオアブラコウモリ,三島のヘリグロヒメトカゲ,アゴヒゲハゼ
59,クチバテングコウモリ,三宅島、八丈島、青ヶ島のオカダトカゲ,イサザ
60,ヒメヒナコウモリ,沖永良部島、徳之島のアオカナヘビ,コシノハゼ
61,スミイロオヒキコウモリ,宮古諸島のサキシママダラ,ホクリクジュズカケハゼ
62,エゾシマリス,,ヨロイボウズハゼ
63,九州地方のカワネズミ,,ドウクツミミズハゼ
64,波照間島のカグラコウモリ,,シマサルハゼ
65,与那国島のカグラコウモリ,,アオバラヨシノボリ
66,四国のチチブコウモリ,,トカゲハゼ
67,本州のチチブコウモリ,,アカボウズハゼ
68,紀伊半島のシナノホオヒゲコウモリ,,カエルハゼ
69,中国地方のシナノホオヒゲコウモリ,,ヒスイボウズハゼ
70,近畿地方以西のウサギコウモリ,,コンテリボウズハゼ
71,北奥羽・北上山系のホンドザル,,ハヤセボウズハゼ
72,金華山のホンドザル,,ヒメサツキハゼ
73,房総半島のホンドザル,,コマチハゼ
74,九州地方のニホンリス,,タイワンキンギョ
75,中国地方のニホンリス,,ニホンウナギ
76,石狩西部のエゾヒグマ,,ドロクイ
77,天塩・増毛地方のエゾヒグマ,,エツ
78,西中国地域のツキノワグマ,,ツチフキ
79,下北半島のツキノワグマ,,タナゴ
80,紀伊半島のツキノワグマ,,アカヒレタビラ
81,四国山地のツキノワグマ,,シロヒレタビラ
82,東中国地域のツキノワグマ,,キタノアカヒレタビラ
83,馬毛島のニホンジカ,,ヨドゼゼラ
84,徳之島のリュウキュウイノシシ,,ニゴロブナ
85,九州地方のカモシカ,,ゲンゴロウブナ
86,四国地方のカモシカ,,カワバタモロコ
87,紀伊山地のカモシカ,,カゼトゲタナゴ
88,鈴鹿山地のカモシカ,,ウケクチウグイ
89,,,アリアケスジシマドジョウ
90,,,オオガタスジシマドジョウ
91,,,ビワコガタスジシマドジョウ
92,,,サンインコガタスジシマドジョウ
93,,,トウカイコガタスジシマドジョウ
94,,,オオヨドシマドジョウ
95,,,ヒナイシドジョウ
96,,,オンガスジシマドジョウ
97,,,イシドジョウ
98,,,エゾホトケドジョウ
99,,,ホトケドジョウ
100,,,トウカイナガレホトケドジョウ
101,,,ナガレホトケドジョウ
102,,,ネコギギ
103,,,イトウ
104,,,アミメカワヨウジ
105,,,ナガレフウライボラ
106,,,アカメ
107,,,オヤニラミ
108,,,アトクギス
109,,,トゲナガユゴイ
110,,,カジカ小卵型
111,,,カジカ中卵型
112,,,ヤマノカミ
113,,,ジャノメハゼ
114,,,タメトモハゼ
115,,,ゴシキタメトモハゼ
116,,,タナゴモドキ
117,,,ムツゴロウ
118,,,トサカハゼ
119,,,キセルハゼ
120,,,クボハゼ
121,,,ムサシノジュズカケハゼ
122,,,ホホグロハゼ
123,,,オガサワラヨシノボリ
124,,,キバラヨシノボリ
125,,,シマエソハゼ
126,,,エソハゼ
127,,,チワラスボ
128,,,コビトハゼ
129,,,カワヤツメ
130,,,スナヤツメ北方種
131,,,スナヤツメ南方種
132,,,ゼゼラ
133,,,キンブナ
134,,,ハス
135,,,スゴモロコ
136,,,デメモロコ
137,,,ヤマトシマドジョウ
138,,,トサシマドジョウ
139,,,チュウガタスジシマドジョウ
140,,,アジメドジョウ
141,,,アリアケギバチ
142,,,ギバチ
143,,,アカザ
144,,,ゴギ
145,,,オショロコマ
146,,,ミヤベイワナ
147,,,エゾトミヨ
148,,,ミナミメダカ
149,,,キタノメダカ
150,,,ナンヨウチヌ
151,,,カマキリ（アユカケ）
152,,,イシドンコ
153,,,ホシマダラハゼ
154,,,ハゼクチ
155,,,ミナミアシシロハゼ
156,,,キララハゼ
157,,,タビラクチ
158,,,アサガラハゼ
159,,,エドハゼ
160,,,シンジコハゼ
161,,,チクゼンハゼ
162,,,シロウオ
163,,,ミナミヒメミミズハゼ
164,,,ムジナハゼ
165,,,ワラスボ
166,,,マングローブゴマハゼ
167,,,ゴマハゼ
168,,,ギンポハゼ
169,,,マサゴハゼ
